GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VegesFoodWebsite,org.example.DAOs,CategoryDAO,0,4,0,0,0,2,0,1,0,1
VegesFoodWebsite,org.example.DAOs,ProductDAO,0,4,0,0,0,2,0,1,0,1
VegesFoodWebsite,org.example.DAOs,WishlistDAO,4,0,0,0,2,0,1,0,1,0
VegesFoodWebsite,org.example.DAOs,GenericDAOImpl,41,131,0,2,13,40,0,8,0,7
VegesFoodWebsite,org.example.DAOs,OrderItemDAO,4,0,0,0,2,0,1,0,1,0
VegesFoodWebsite,org.example.DAOs,OrderDAO,4,0,0,0,2,0,1,0,1,0
VegesFoodWebsite,org.example.DAOs,UserInterestDAO,4,0,0,0,2,0,1,0,1,0
VegesFoodWebsite,org.example.DAOs,EntityManagerFactorySinglton,0,12,0,2,0,4,0,3,0,2
VegesFoodWebsite,org.example.DAOs,CartItemDAO,4,0,0,0,2,0,1,0,1,0
VegesFoodWebsite,org.example.DAOs,AdminDAO,4,0,0,0,2,0,1,0,1,0
VegesFoodWebsite,org.example.DAOs,UserDAO,0,4,0,0,0,2,0,1,0,1
VegesFoodWebsite,org.example.entities,Orderitem,38,0,0,0,16,0,11,0,11,0
VegesFoodWebsite,org.example.entities,Product,13,39,0,0,5,17,4,11,4,11
VegesFoodWebsite,org.example.entities,Cartitem,31,0,0,0,13,0,9,0,9,0
VegesFoodWebsite,org.example.entities,UserinterestId,64,0,10,0,13,0,12,0,7,0
VegesFoodWebsite,org.example.entities,User,22,37,0,0,8,17,7,10,7,10
VegesFoodWebsite,org.example.entities,Wishlist,24,0,0,0,10,0,7,0,7,0
VegesFoodWebsite,org.example.entities,Userinterest,24,0,0,0,10,0,7,0,7,0
VegesFoodWebsite,org.example.entities,CartitemId,64,0,10,0,13,0,12,0,7,0
VegesFoodWebsite,org.example.entities,Order,21,3,0,0,9,1,6,1,6,1
VegesFoodWebsite,org.example.entities,OrderitemId,64,0,10,0,13,0,12,0,7,0
VegesFoodWebsite,org.example.entities,Category,4,13,0,0,2,5,1,4,1,4
VegesFoodWebsite,org.example.entities,WishlistId,64,0,10,0,13,0,12,0,7,0
VegesFoodWebsite,org.example.entities,Admin,21,3,0,0,9,1,6,1,6,1
VegesFoodWebsite,org.example,Main,7,0,0,0,3,0,2,0,2,0
